Lp;Numer;P³eæ;Rocznik;Kat wiekowa;Czas
No.;Bib;Sex;YoB;Age Group;Time
1;1980;M / 97;1980;M3 / 29;01:07:05
2;295;M / 128;1978;M3 / 42;01:09:02
3;97;M / 195;1964;M5 / 11;01:14:05
4;528;K / 57;1987;K2 / 16;01:32:02
5;3266;M / 384;1974;M4 / 99;01:25:47
6;1249;M / 90;2000;M1 / 9;01:06:22
7;2971;M / 399;1981;M3 / 146;01:27:02
8;813;M / 125;1970;M4 / 26;01:08:48
9;3495;M / 35;1996;M2 / 8;01:01:42
10;1086;M / 354;1966;M5 / 26;01:23:23
11;3415;M / 205;2003;MM / 7;01:14:27
12;3290;M / 271;1991;M2 / 37;01:17:56
13;3584;M / 370;1985;M3 / 132;01:24:36
14;932;M / 46;1975;M4 / 8;01:02:48
15;3207;M / 127;1957;M5 / 8;01:09:01
16;2061;M / 37;1992;M2 / 9;01:01:50
17;1011;M / 443;2008;MM / 26;01:33:30
18;2444;K / 2;2002;K0 / 1;01:07:28
19;1607;M / 116;1979;M3 / 39;01:08:05
20;801;M / 326;1981;M3 / 117;01:21:15
21;1302;M / 486;1984;M3 / 171;01:52:29
22;296;M / 210;1979;M3 / 72;01:14:46
23;290;M / 339;1953;M6 / 13;01:22:06
24;1609;M / 220;1980;M3 / 75;01:15:11
25;3594;M / 352;1993;M2 / 47;01:22:54
26;430;K / 43;1974;K4 / 6;01:26:37
27;4062;M / 490;1980;M3 / 173;01:57:54
28;1842;K / 80;1976;K4 / 15;01:51:23
29;3217;M / 158;1980;M3 / 54;01:11:33
30;1712;M / 265;2002;M0 / 19;01:17:44
31;353;M / 334;1961;M5 / 23;01:21:39
32;1339;M / 449;1970;M4 / 121;01:35:43
33;1808;M / 281;1956;M6 / 10;01:18:38
34;3481;M / 249;1979;M3 / 87;01:16:51
35;3226;M / 329;1994;M2 / 42;01:21:22
36;2302;M / 29;2000;M1 / 5;01:00:59
37;1425;M / 292;1981;M3 / 102;01:19:01
38;926;M / 164;1982;M3 / 57;01:12:11
39;3527;M / 310;1974;M4 / 81;01:20:06
40;70;M / 111;2003;MM / 3;01:07:55
41;606;M / 243;1972;M4 / 62;01:16:42
42;2989;M / 256;1974;M4 / 67;01:17:11
43;440;K / 49;1989;K2 / 14;01:29:25
44;443;M / 409;1986;M3 / 150;01:27:42
45;488;M / 47;1973;M4 / 9;01:03:03
46;2934;M / 215;1972;M4 / 51;01:15:05
47;1959;M / 468;2002;M0 / 23;01:40:35
48;3125;M / 13;1984;M3 / 6;00:58:38
49;2099;M / 24;1978;M3 / 8;00:59:48
50;4031;M / 138;1984;M3 / 47;01:10:15
51;2828;M / 56;2002;M0 / 7;01:03:38
